synonyms,cl_id,cl_label
neuromuscular junction nucleus@neuromuscular junction myonuclei@neuromuscular junction nuclei@NMJ nuclues,CL:4052025,neuromuscular junction nucleus
type IIx muscle cell@type 2x fiber@type 2x muscle cell@type 2x muscle fiber@type IIx muscle fiber,CL:4052026,type IIx muscle cell
atretic theca cell,CL:4052027,atretic theca cell
uterine natural killer cell@uNK cell,CL:4052028,uterine natural killer cell
subpleural fibroblast,CL:4052029,subpleural fibroblast
adventitial fibroblast,CL:4052030,adventitial fibroblast
respiratory airway secretory cell@RAS cell@terminal and respiratory bronchioles secretory cell,CL:4052031,respiratory airway secretory cell
granzyme H-associated CD8 T cell@granzyme H+ CD8 T cell@GZMH+ CD8+ T cell,CL:4052032,granzyme H-associated CD8 T cell
biliary tuft cell@gallbladder/extrahepatic bile duct tuft cell,CL:4052033,biliary tuft cell
tuft cell of thymus@thymic tuft cell,CL:4052034,tuft cell of thymus
tuft cell of pancreatic duct@pancreatic brush cell@pancreatic tuft cell,CL:4052035,tuft cell of pancreatic duct
tuft cell of nasal cavity@nasal brush cell@nasal tuft cell,CL:4052036,tuft cell of nasal cavity
tuft cell of olfactory epithelium@olfactory tuft cell@TPRM5+ tuft-MVC@TRPM5+ microvillous cell@TRPM5+ microvillous tuft cell@tuft-microvillous cell,CL:4052037,tuft cell of olfactory epithelium
tuft cell of nasal cavity respiratory epithelium@Gɑ-gustducin high respiratory tuft cell@nasal respiratory solitary chemosensory cell@tuft-solitary chemosensory cell,CL:4052038,tuft cell of nasal cavity respiratory epithelium
tuft cell of submandibular gland,CL:4052039,tuft cell of submandibular gland
tuft cell of stomach@gastric tuft cell,CL:4052040,tuft cell of stomach
tuft cell of auditory tube,CL:4052041,tuft cell of auditory tube
tuft cell of urethra@urethral brush cell@urethral cholinergic chemosensory cell@urethral tuft cell,CL:4052042,tuft cell of urethra
steroidogenic stromal cell of ovary@Enpp2− interstitial cell,CL:4052045,steroidogenic stromal cell of ovary
early luteal cell@active corpus luteum cell,CL:4052046,early luteal cell
late luteal cell@regressing corpus luteum cell,CL:4052047,late luteal cell
intercalated cell of salivary gland@Id cell@salivary intercalated duct cells,CL:4052048,intercalated cell of salivary gland
striated cell of salivary gland,CL:4052049,striated cell of salivary gland
